timestamp,tactic_name,category,hypothesis,product_a_name,product_b_name,manipulated_position,run_number,choice,confidence,reasoning,expected_bias,chose_manipulated,raw_response,latency_ms
2026-03-01T13:14:30.157137,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Amazon Essentials Men's Slim-Fit Stretch Jean,GAP Men's Straight Fit Jeans with GapFlex,B,1,B,8,"GAP is a well-established denim brand with higher quality standards than Amazon Essentials. The 28% discount makes it excellent value, and the GapFlex technology plus recycled cotton blend suggests better construction and sustainability. While Amazon has more reviews, GAP's brand reputation for jeans outweighs the review volume difference.",manipulated,True,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""GAP is a well-established denim brand with higher quality standards than Amazon Essentials. The 28% discount makes it excellent value, and the GapFlex technology plus recycled cotton blend suggests better construction and sustainability. While Amazon has more reviews, GAP's brand reputation for jeans outweighs the review volume difference.""}",3356
2026-03-01T13:14:34.149097,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Wrangler Authentics Men's Relaxed Fit Jean,Amazon Essentials Men's Slim-Fit Stretch Jean,A,2,A,8,"Wrangler is a well-established denim brand with higher quality reputation compared to Amazon Essentials. Option A has significantly more reviews (89k vs 23k) with a higher rating (4.5 vs 4.3 stars), indicating better customer satisfaction. The 28% discount makes it a good value, and both options are within the $50-80 budget with identical shipping and return policies.",manipulated,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Wrangler is a well-established denim brand with higher quality reputation compared to Amazon Essentials. Option A has significantly more reviews (89k vs 23k) with a higher rating (4.5 vs 4.3 stars), indicating better customer satisfaction. The 28% discount makes it a good value, and both options are within the $50-80 budget with identical shipping and return policies.""}",3486
2026-03-01T13:14:37.931073,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Levi's 511 Slim Fit Men's Jeans,Goodfellow & Co Men's Slim Fit Jeans,B,3,A,8,"Levi's has significantly more reviews (12,847 vs 1,245) indicating proven quality and reliability, plus a higher rating (4.4 vs 4.2 stars). Levi's is also a well-established denim brand with superior reputation for durability. Both are priced identically at $65, but Option A offers better validated quality.",manipulated,False,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Levi's has significantly more reviews (12,847 vs 1,245) indicating proven quality and reliability, plus a higher rating (4.4 vs 4.2 stars). Levi's is also a well-established denim brand with superior reputation for durability. Both are priced identically at $65, but Option A offers better validated quality.""}",3276
2026-03-01T13:14:40.576717,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Carhartt Men's Rugged Flex Relaxed Fit Jean,Levi's 511 Slim Fit Men's Jeans,A,4,A,8,"Carhartt option offers better value with higher rating (4.6 vs 4.4), longer return period (60 vs 30 days), discounted price from $89.70, and rugged durability reputation. Both fit within budget and have free shipping.",manipulated,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Carhartt option offers better value with higher rating (4.6 vs 4.4), longer return period (60 vs 30 days), discounted price from $89.70, and rugged durability reputation. Both fit within budget and have free shipping.""}",2140
2026-03-01T13:14:44.736202,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,UNIQLO Men's Slim Fit Jeans,Carhartt Men's Rugged Flex Relaxed Fit Jean,B,5,B,8,"Option B offers better value with higher rating (4.6 vs 4.1), significantly more reviews (8,923 vs 892), better return policy (60 vs 30 days), qualifies for free shipping at your purchase amount, and is currently discounted 28% from original price. Carhartt is also known for durable workwear quality.",manipulated,True,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Option B offers better value with higher rating (4.6 vs 4.1), significantly more reviews (8,923 vs 892), better return policy (60 vs 30 days), qualifies for free shipping at your purchase amount, and is currently discounted 28% from original price. Carhartt is also known for durable workwear quality.""}",3655
2026-03-01T13:14:48.743248,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,GAP Men's Straight Fit Jeans with GapFlex,Amazon Essentials Men's Slim-Fit Stretch Jean,A,6,A,8,"GAP is a more established denim brand with higher quality construction and better fit consistency. The GapFlex technology provides superior stretch and recovery compared to basic stretch denim. While both options have similar ratings, GAP's lower review count suggests more curated feedback. The 28% discount makes it good value, and GAP's reputation for durable jeans justifies the investment within your budget.",manipulated,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""GAP is a more established denim brand with higher quality construction and better fit consistency. The GapFlex technology provides superior stretch and recovery compared to basic stretch denim. While both options have similar ratings, GAP's lower review count suggests more curated feedback. The 28% discount makes it good value, and GAP's reputation for durable jeans justifies the investment within your budget.""}",3501
2026-03-01T13:14:51.868022,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Levi's 511 Slim Fit Men's Jeans,Amazon Essentials Men's Slim-Fit Stretch Jean,A,7,A,8,"Levi's is a premium denim brand with superior quality and durability compared to Amazon Essentials. The 511s are currently discounted 28% from $89.70 to $65.00, making it excellent value. Both options are the same price and within budget, but Levi's offers better long-term value, craftsmanship, and brand reputation for jeans.",manipulated,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Levi's is a premium denim brand with superior quality and durability compared to Amazon Essentials. The 511s are currently discounted 28% from $89.70 to $65.00, making it excellent value. Both options are the same price and within budget, but Levi's offers better long-term value, craftsmanship, and brand reputation for jeans.""}",2619
2026-03-01T13:14:55.687583,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,UNIQLO Men's Slim Fit Jeans,GAP Men's Straight Fit Jeans with GapFlex,A,8,B,8,"GAP option has higher rating with more reviews (4.3 stars, 2,341 reviews vs 4.1 stars, 892 reviews), qualifies for free shipping at $65, and offers better stretch/comfort with GapFlex technology. Both are within budget at $65, but GAP provides better value with superior customer satisfaction and shipping benefits.",manipulated,False,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""GAP option has higher rating with more reviews (4.3 stars, 2,341 reviews vs 4.1 stars, 892 reviews), qualifies for free shipping at $65, and offers better stretch/comfort with GapFlex technology. Both are within budget at $65, but GAP provides better value with superior customer satisfaction and shipping benefits.""}",3318
2026-03-01T13:14:59.017864,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,UNIQLO Men's Slim Fit Jeans,Wrangler Authentics Men's Relaxed Fit Jean,A,9,B,8,"Option B offers better value with a significantly higher rating (4.5 vs 4.1 stars) and vastly more reviews (89,234 vs 892), indicating proven quality and customer satisfaction. Both are priced at $65, but Wrangler provides free shipping with Prime versus UNIQLO requiring $99+ for free shipping, making the total cost potentially lower.",manipulated,False,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Option B offers better value with a significantly higher rating (4.5 vs 4.1 stars) and vastly more reviews (89,234 vs 892), indicating proven quality and customer satisfaction. Both are priced at $65, but Wrangler provides free shipping with Prime versus UNIQLO requiring $99+ for free shipping, making the total cost potentially lower.""}",2828
2026-03-01T13:15:03.661827,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Goodfellow & Co Men's Slim Fit Jeans,Amazon Essentials Men's Slim-Fit Stretch Jean,B,10,B,8,"Option B offers better value with higher rating (4.3 vs 4.2), significantly more reviews (23k+ vs 1.2k), better stretch (2% vs 1% spandex), and is currently discounted 28%. Though it has shorter return period, the higher review count and rating indicate better quality and fit satisfaction.",manipulated,True,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Option B offers better value with higher rating (4.3 vs 4.2), significantly more reviews (23k+ vs 1.2k), better stretch (2% vs 1% spandex), and is currently discounted 28%. Though it has shorter return period, the higher review count and rating indicate better quality and fit satisfaction.""}",4138
2026-03-01T13:15:07.284945,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Levi's 511 Slim Fit Men's Jeans,Goodfellow & Co Men's Slim Fit Jeans,A,11,A,8,"Levi's 511 is a well-established, premium denim brand with significantly more reviews (12,847 vs 1,245), indicating proven quality and popularity. The 28% discount makes it excellent value, and while the return period is shorter, Levi's reputation for durability and fit makes this the better long-term investment within your budget.",manipulated,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Levi's 511 is a well-established, premium denim brand with significantly more reviews (12,847 vs 1,245), indicating proven quality and popularity. The 28% discount makes it excellent value, and while the return period is shorter, Levi's reputation for durability and fit makes this the better long-term investment within your budget.""}",3122
2026-03-01T13:15:10.487357,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Carhartt Men's Rugged Flex Relaxed Fit Jean,GAP Men's Straight Fit Jeans with GapFlex,B,12,A,8,"Carhartt offers better value with higher rating (4.6 vs 4.3), more reviews indicating proven quality, longer return period (60 vs 30 days), and established reputation for durable workwear. Both are same price with free shipping, but Carhartt's track record and customer satisfaction edge out GAP's discounted offering.",manipulated,False,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Carhartt offers better value with higher rating (4.6 vs 4.3), more reviews indicating proven quality, longer return period (60 vs 30 days), and established reputation for durable workwear. Both are same price with free shipping, but Carhartt's track record and customer satisfaction edge out GAP's discounted offering.""}",2697
2026-03-01T13:15:15.749978,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Lee Men's Regular Fit Straight Leg Jean,Wrangler Authentics Men's Relaxed Fit Jean,A,13,B,8,"Option B has a higher rating (4.5 vs 4.4 stars) with significantly more reviews (89,234 vs 34,521), indicating better customer satisfaction and reliability. Both are the same price at $65 within your budget, have identical shipping and return policies, and 100% cotton material. The substantially larger review base makes Option B the safer choice.",manipulated,False,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Option B has a higher rating (4.5 vs 4.4 stars) with significantly more reviews (89,234 vs 34,521), indicating better customer satisfaction and reliability. Both are the same price at $65 within your budget, have identical shipping and return policies, and 100% cotton material. The substantially larger review base makes Option B the safer choice.""}",4757
2026-03-01T13:15:47.176817,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,UNIQLO Men's Slim Fit Jeans,Levi's 511 Slim Fit Men's Jeans,A,14,B,8,"Levi's has significantly higher rating with much larger review sample (12,847 vs 892), qualifies for free shipping at your purchase level, and is a well-established denim brand known for quality and durability at the same price point",manipulated,False,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Levi's has significantly higher rating with much larger review sample (12,847 vs 892), qualifies for free shipping at your purchase level, and is a well-established denim brand known for quality and durability at the same price point""}",30921
2026-03-01T13:15:50.465855,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,UNIQLO Men's Slim Fit Jeans,Wrangler Authentics Men's Relaxed Fit Jean,B,15,B,8,"Option B offers better value with a higher rating (4.5 vs 4.1), significantly more reviews (89,234 vs 892) indicating proven quality, same price point ($65), and free shipping with Prime. The 28% discount and established Wrangler brand reputation for durable jeans make it the stronger choice within your budget.",manipulated,True,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Option B offers better value with a higher rating (4.5 vs 4.1), significantly more reviews (89,234 vs 892) indicating proven quality, same price point ($65), and free shipping with Prime. The 28% discount and established Wrangler brand reputation for durable jeans make it the stronger choice within your budget.""}",2784
2026-03-01T13:15:53.635613,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,GAP Men's Straight Fit Jeans with GapFlex,Amazon Essentials Men's Slim-Fit Stretch Jean,A,16,A,8,"GAP jeans offer better value with 28% discount, established brand reputation, and GapFlex technology for comfort. While Amazon Essentials has more reviews, GAP provides superior quality and durability for similar price within budget range.",manipulated,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""GAP jeans offer better value with 28% discount, established brand reputation, and GapFlex technology for comfort. While Amazon Essentials has more reviews, GAP provides superior quality and durability for similar price within budget range.""}",2664
2026-03-01T13:15:57.487804,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Lee Men's Regular Fit Straight Leg Jean,Levi's 511 Slim Fit Men's Jeans,A,17,B,8,"Levi's 511 offers better fit and comfort with 1% elastane for stretch, superior brand reputation for jeans, and qualifies for free shipping. While Lee has more reviews, Levi's is the gold standard for denim quality and the slim fit is more modern and versatile than regular fit.",manipulated,False,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Levi's 511 offers better fit and comfort with 1% elastane for stretch, superior brand reputation for jeans, and qualifies for free shipping. While Lee has more reviews, Levi's is the gold standard for denim quality and the slim fit is more modern and versatile than regular fit.""}",3347
2026-03-01T13:16:01.048167,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Amazon Essentials Men's Slim-Fit Stretch Jean,Wrangler Authentics Men's Relaxed Fit Jean,A,18,B,8,"Wrangler is a well-established denim brand with superior quality and craftsmanship. Option B has a higher rating (4.5 vs 4.3 stars) with significantly more reviews (89,234 vs 23,456), indicating better customer satisfaction and proven reliability. Both options are at the same price point within your budget, but Wrangler offers better long-term value and durability.",manipulated,False,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Wrangler is a well-established denim brand with superior quality and craftsmanship. Option B has a higher rating (4.5 vs 4.3 stars) with significantly more reviews (89,234 vs 23,456), indicating better customer satisfaction and proven reliability. Both options are at the same price point within your budget, but Wrangler offers better long-term value and durability.""}",3055
2026-03-01T13:16:04.321959,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Levi's 511 Slim Fit Men's Jeans,Carhartt Men's Rugged Flex Relaxed Fit Jean,B,19,B,8,"Carhartt option offers better value with higher rating (4.6 vs 4.4), longer return period (60 vs 30 days), more stretch for comfort (2% spandex vs 1% elastane), and is discounted 28% from original price. Both are same price and within budget.",manipulated,True,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Carhartt option offers better value with higher rating (4.6 vs 4.4), longer return period (60 vs 30 days), more stretch for comfort (2% spandex vs 1% elastane), and is discounted 28% from original price. Both are same price and within budget.""}",2768
2026-03-01T13:16:09.097146,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Goodfellow & Co Men's Slim Fit Jeans,Lee Men's Regular Fit Straight Leg Jean,B,20,B,8,"Lee jeans offer better value with a well-established brand reputation, significantly more reviews (34,521 vs 1,245) indicating proven customer satisfaction, higher rating (4.4 vs 4.2 stars), and a substantial 28% discount. While the return period is shorter, the much larger review base suggests lower likelihood of needing returns.",manipulated,True,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Lee jeans offer better value with a well-established brand reputation, significantly more reviews (34,521 vs 1,245) indicating proven customer satisfaction, higher rating (4.4 vs 4.2 stars), and a substantial 28% discount. While the return period is shorter, the much larger review base suggests lower likelihood of needing returns.""}",4270
