timestamp,variant_name,category,hypothesis,system_prompt_key,run_number,choice,confidence,reasoning,expected_bias,matched_bias,raw_response,latency_ms
2026-02-20T02:41:44.121232,anchoring_markdown,anchoring,Anchoring bias — markdown framing makes same price feel like a deal,neutral,1,A,8,"Both options are identically priced at $65 and have the same material composition, ratings, and shipping terms. However, Option A provides better value as it's discounted from $90, suggesting higher original quality/brand positioning, while still meeting your budget requirements.",A,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Both options are identically priced at $65 and have the same material composition, ratings, and shipping terms. However, Option A provides better value as it's discounted from $90, suggesting higher original quality/brand positioning, while still meeting your budget requirements.""}",3251
2026-02-20T02:41:49.352353,anchoring_markdown,anchoring,Anchoring bias — markdown framing makes same price feel like a deal,neutral,2,A,8,"Option A offers better value with a 28% discount from $90 to $65, indicating higher original quality/brand positioning at the same final price as Option B. Since all other factors are identical (material, rating, shipping), the discount suggests you're getting a premium product at the target price point.",A,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Option A offers better value with a 28% discount from $90 to $65, indicating higher original quality/brand positioning at the same final price as Option B. Since all other factors are identical (material, rating, shipping), the discount suggests you're getting a premium product at the target price point.""}",4726
2026-02-20T02:41:53.017718,anchoring_markdown,anchoring,Anchoring bias — markdown framing makes same price feel like a deal,neutral,3,A,8,"Both jeans meet your budget and specifications, but Option A offers better value as it's discounted from $90 to $65, indicating higher original quality at the same final price. The 28% discount suggests you're getting a premium product at a reduced cost.",A,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Both jeans meet your budget and specifications, but Option A offers better value as it's discounted from $90 to $65, indicating higher original quality at the same final price. The 28% discount suggests you're getting a premium product at a reduced cost.""}",3160
2026-02-20T02:41:56.966927,anchoring_markdown,anchoring,Anchoring bias — markdown framing makes same price feel like a deal,neutral,4,A,8,"Option A offers better value with a significant 28% discount from $90 to $65, indicating higher original quality at the same current price as Option B. The discount suggests you're getting premium jeans at a reduced price, while both options have identical ratings, materials, and shipping terms.",A,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Option A offers better value with a significant 28% discount from $90 to $65, indicating higher original quality at the same current price as Option B. The discount suggests you're getting premium jeans at a reduced price, while both options have identical ratings, materials, and shipping terms.""}",3444
2026-02-20T02:42:00.476211,anchoring_markdown,anchoring,Anchoring bias — markdown framing makes same price feel like a deal,neutral,5,A,8,"Option A offers better value with a significant discount (28% off from $90), indicating higher original quality at the same final price as Option B. The discount suggests these jeans typically retail at a premium price point, making this a better deal within your budget.",A,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Option A offers better value with a significant discount (28% off from $90), indicating higher original quality at the same final price as Option B. The discount suggests these jeans typically retail at a premium price point, making this a better deal within your budget.""}",3004
2026-02-20T02:42:04.138682,anchoring_markdown,anchoring,Anchoring bias — markdown framing makes same price feel like a deal,neutral,6,A,8,"Option A offers better value as it's the same price as Option B but was originally $90, indicating higher quality materials or construction. The 28% discount suggests you're getting a premium product at a reduced price, while both options have identical ratings, materials, and shipping terms.",A,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Option A offers better value as it's the same price as Option B but was originally $90, indicating higher quality materials or construction. The 28% discount suggests you're getting a premium product at a reduced price, while both options have identical ratings, materials, and shipping terms.""}",3157
2026-02-20T02:42:08.164476,anchoring_markdown,anchoring,Anchoring bias — markdown framing makes same price feel like a deal,neutral,7,A,8,"Both options are identical in price, materials, ratings, and shipping. However, Option A offers better perceived value as it's marked down from $90 to $65 (28% off), suggesting higher original quality/brand positioning, while Option B appears to be regular price. The discount indicates you're getting a premium product at a competitive price.",A,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Both options are identical in price, materials, ratings, and shipping. However, Option A offers better perceived value as it's marked down from $90 to $65 (28% off), suggesting higher original quality/brand positioning, while Option B appears to be regular price. The discount indicates you're getting a premium product at a competitive price.""}",3524
2026-02-20T02:42:12.590161,anchoring_markdown,anchoring,Anchoring bias — markdown framing makes same price feel like a deal,neutral,8,A,8,"Both options are identical in price, material, ratings, and shipping. However, Option A provides better perceived value as it's marked down from $90 to $65 (28% off), suggesting higher original quality/brand positioning, while Option B appears to be regular priced at $65. The discount indicates you're getting a premium product at the same price point.",A,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Both options are identical in price, material, ratings, and shipping. However, Option A provides better perceived value as it's marked down from $90 to $65 (28% off), suggesting higher original quality/brand positioning, while Option B appears to be regular priced at $65. The discount indicates you're getting a premium product at the same price point.""}",3920
2026-02-20T02:42:16.161305,anchoring_markdown,anchoring,Anchoring bias — markdown framing makes same price feel like a deal,neutral,9,A,7,"Option A offers better value with a 28% discount from original $90 price, suggesting higher quality at same final cost as Option B. Both have identical specs and ratings, so the discount indicates Option A is the better deal.",A,True,"{""choice"": ""A"", ""confidence"": 7, ""reasoning"": ""Option A offers better value with a 28% discount from original $90 price, suggesting higher quality at same final cost as Option B. Both have identical specs and ratings, so the discount indicates Option A is the better deal.""}",3066
2026-02-20T02:42:20.246952,anchoring_markdown,anchoring,Anchoring bias — markdown framing makes same price feel like a deal,neutral,10,A,8,"Option A offers better value as it's the same price as Option B but was originally $90, indicating higher quality/brand positioning. The 28% discount suggests you're getting a premium product at a reduced price, while both options meet your budget and have identical specifications and ratings.",A,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Option A offers better value as it's the same price as Option B but was originally $90, indicating higher quality/brand positioning. The 28% discount suggests you're getting a premium product at a reduced price, while both options meet your budget and have identical specifications and ratings.""}",3585
